uniprot,gene_name
E9Q4Z2,Acacb
Q9D7B6,Acad8
Q8JZN5,Acad9
P51174,Acadl
P45952,Acadm
Q07417,Acads
P50544,Acadvl
Q8K2H4,Acap1
Q6ZQK5,Acap2
Q99J27,Slc33a1
Q5XG73,Acbd5
Q9D061,Acbd6
Q9D258,Acbd7
Q99PU5,Acsbg1
Q2XU92,Acsbg2
P31786,Dbi
Q8K370,Acad10
Q80XL6,Acad11
Q9DBL1,Acadsb
Q5EE38,Acd
Q8R0I0,Ace2
D0G895,Ace3
Q8R4X1,Acer1
Q8VD53,Acer2
Q9D099,Acer3
P21836,Ache
P09470,Ace
Q91X60,Chrna2
Q8R4G9,Chrna3
O70174,Chrna4
Q2MKA5,Chrna5
Q9R0W9,Chrna6
P49582,Chrna7
P04756,Chrna1
Q9ERK7,Chrnb2
Q8BMN3,Chrnb3
Q8R493,Chrnb4
P09690,Chrnb1
P02716,Chrnd
P20782,Chrne
P04760,Chrng
Q9JIX8,Acin1
O54967,Tnk2
Q9D1Z3,Atpsckmt
Q9QUI6,Ackr1
O08707,Ackr2
P56485,Ackr3
Q924I3,Ackr4
A2AKE7,Actl10
Q9Z2N8,Actl6a
Q99MR0,Actl6b
Q9QY84,Actl7a
Q9QY83,Actl7b
Q91V92,Acly
P12657,Chrm1
Q9ERZ4,Chrm2
Q9ERZ3,Chrm3
P32211,Chrm4
Q920H4,Chrm5
Q8R519,Acmsd
A2AKK5,Acnat1
Q8BGG9,Acnat2
Q32MW3,Acot10
Q8VHQ9,Acot11
Q9DBK0,Acot12
Q9CQR4,Acot13
P13516,Scd1
P28271,Aco1
Q99KI0,Aco2
O55137,Acot1
Q9QYR9,Acot2
Q9QYR7,Acot3
Q8BWN8,Acot4
Q6Q2Z6,Acot5
Q32Q92,Acot6
P58137,Acot8
Q9R0X4,Acot9
Q9R0H0,Acox1
Q9QXD1,Acox2
Q9EPL9,Acox3
Q9DBS4,Acoxl
Q8BX37,Acp7
Q8R146,Apeh
Q9CR21,Ndufab1
Q3V140,Acrbp
P23578,Acr
Q99NB1,Acss1
Q9QXG4,Acss2
Q8VCW8,Acsf2
Q3URE1,Acsf3
Q80WC9,Aasdh
P41216,Acsl1
Q9CZW4,Acsl3
Q9QUJ7,Acsl4
Q8JZR0,Acsl5
Q91WC3,Acsl6
Q91VA0,Acsm1
Q8K0L3,Acsm2
Q3UNX5,Acsm3
Q80W40,Acsm4
Q8BGA8,Acsm5
Q14DH7,Acss3
P62737,Acta2
Q8BFZ3,Actbl2
P60710,Actb
P68033,Actc1
P63260,Actg1
Q64326,Mc2r
P63268,Actg2
Q8CG27,Actl9
J3QPC3,Actmap
Q7TPR4,Actn1
Q9JI91,Actn2
O88990,Actn3
P57780,Actn4
P68134,Acta1
Q9D9J3,Actrt1
Q9D9L5,Actrt2
Q8BXF8,Actrt3
Q8R5C5,Actr1b
P61164,Actr1a
Q61271,Acvr1b
Q8K348,Acvr1c
Q61288,Acvrl1
P37172,Acvr1
Q99JW2,Acy1
Q8R3P0,Aspa
Q91XE4,Acy3
P56376,Acyp1
P56375,Acyp2
Q9R158,Adam26a
Q8BM81,Aadacl4fm1
O35598,Adam10
Q9R1V4,Adam11
Q61824,Adam12
O88839,Adam15
Q9Z0F8,Adam17
Q9R157,Adam18
O35674,Adam19
P97718,Adra1a
P97717,Adra1b
P97714,Adra1d
Q9JI76,Adam21
Q9R1V6,Adam22
Q9R1V7,Adam23
Q9R160,Adam24
Q9R159,Adam25
Q9JLN6,Adam28
Q811Q4,Adam29
Q01338,Adra2a
P30545,Adra2b
Q01337,Adra2c
Q8K410,Adam32
Q923W9,Adam33
Q5SUE7,Adad1
Q9D5P4,Adad2
Q80SY6,Mapda
Q60718,Adam2
F8VQ03,Adam3
Q3TTE0,Adam5
O35227,Adam7
Q05910,Adam8
Q61072,Adam9
Q8R2V5,Adap2
Q8C0I1,Agps
Q9JHI2,Adat1
Q6P6J0,Adat2
Q6PAT0,Adat3
P03958,Ada
Q9D0L4,Adck1
Q6NSR3,Adck2
Q80V03,Adck5
A2A7Z8,Aadacl3
O88444,Adcy1
Q80TL1,Adcy2
Q8VHH7,Adcy3
Q91WF3,Adcy4
P84309,Adcy5
Q01341,Adcy6
P51829,Adcy7
P97490,Adcy8
P51830,Adcy9
Q8C0T9,Adcy10
Q9QYC0,Add1
Q9QYB8,Add2
Q9QYB5,Add3
Q9R0X2,Adamdec1
G3UZ78,Adgb
P00329,Adh1
Q9QYY9,Adh4
Q64437,Adh7
P28474,Adh5
Q8R400,Adig
Q8R2Z0,C1qtnf12
Q60994,Adipoq
Q8VC66,Ssx2ip
P55264,Adk
Q60813,Adam1a
Q8R534,Adam1b
Q7TNK8,Adm2
P97297,Adm
Q8CHC8,Adnp2
Q9Z103,Adnp
Q8VDL4,Adpgk
Q9CQF6,Aasdhppt
P54923,Adprh
Q99KS6,Adprm
Q8CG72,Adprs
P34971,Adrb1
P18762,Adrb2
P25962,Adrb3
Q9JKV1,Adrm1
Q61578,Fdxr
Q9D1K7,Adissp
P48962,Slc25a4
P51881,Slc25a5
Q3V132,Slc25a31
Q8C138,Adtrp
P46656,Fdx1
Q640N1,Aebp1
Q9Z248,Aebp2
Q6PDY2,Ado
A2AJA7,Mamdc4
Q9CZI9,Aen
O54826,Mllt10
Q8BZI0,Afap1l1
Q5DTU0,Afap1l2
P97783,Mllt11
A2AM29,Mllt3
Q9QZQ1,Afdn
O89020,Afm
Q80YS6,Afap1
O88573,Aff1
O55112,Aff2
P51827,Aff3
Q9ESC8,Aff4
Q3V384,Afg1l
Q3UMC0,Afg2a
A0A7N9VSG0,Afg2b
Q920A7,Afg3l1
Q8JZQ2,Afg3l2
Q80WT5,Aftph
Q3UGP8,Alg10b
P51569,Gla
Q8BXK8,Agap1
Q3UHD9,Agap2
Q8VHH5,Agap3
Q8K2K6,Agfg1
Q80WC7,Agfg2
Q7TN31,Aggf1
Q9ESW4,Agk
Q9CYR6,Pgm3
Q8CJG1,Ago1
Q8CJG0,Ago2
Q8CJF9,Ago3
Q8CJF8,Ago4
O88312,Agr2
Q8R3W7,Agr3
Q8C4G9,Adgra1
Q91ZV8,Adgra2
Q7TT36,Adgra3
Q3UHD1,Adgrb1
Q8CGM1,Adgrb2
Q80ZF8,Adgrb3
Q80T32,Adgrd1
Q61549,Adgre1
Q91ZE5,Adgre4
Q9Z0M6,Adgre5
Q8VEC3,Adgrf1
E9Q4J9,Adgrf2
Q58Y75,ADGRF3
Q9D2L6,Adgrf4
G5E8Q8,Adgrf5
Q8K209,Adgrg1
Q8CJ12,Adgrg2
Q8R0T6,Adgrg3
B7ZCC9,Adgrg4
Q3V3Z3,Adgrg5
Q6F3F9,Adgrg6
Q8BM96,Adgrg7
A2ASQ1,Agrn
Q80TR1,Adgrl1
Q8JZZ7,Adgrl2
Q80TS3,Adgrl3
Q923X1,Adgrl4
P56473,Agrp
Q8VHN7,Adgrv1
O35423,Agxt
Q3UEG6,Agxt2
P35374,Agtr2
P29754,Agtr1a
P29755,Agtr1b
Q6PAL7,Ahdc1
Q8K3E5,Ahi1
Q3U1U7,Ahrr
P30561,Ahr
Q8BK64,Ahsa1
Q8N9S3,Ahsa2
Q9CY02,Ahsp
Q9WVE0,Aicda
Q8C4Q6,Aida
Q9EQX4,Aif1l
O70200,Aif1
Q9Z0X1,Aifm1
Q3TY86,Aifm3
Q9D8B1,Aig1
Q91VJ1,Aim2
P31230,Aimp1
Q8R010,Aimp2
P46660,Ina
Q924K1,Aipl1
O08915,Aip
Q9Z0E3,Aire
Q499E6,Airim
A2ALI5,Ajap1
A2AJA9,Ajm1
Q91XC0,Ajuba
A2A3V1,Akap17b
Q9JII6,Akr1a1
Q8VC28,Akr1c13
Q91WR5,Akr1c21
Q8VCX1,Akr1d1
O88845,Akap10
Q9WTQ5,Akap12
O55074,Akap7
Q7TN79,Akap7
G3UWD5,Akain1
O08715,Akap1
O54931,Pakap
O88987,Akap3
Q60662,Akap4
D3YVF0,Akap5
Q9DBR0,Akap8
Q70FJ1,Akap9
Q8K023,Akr1c18
Q9DCT1,Akr1e2
Q14DN9,Ankdd1b
Q6ZPS6,Ankib1
Q9JJR5,Akip1
Q9DCJ7,Aurkaip1
Q99LF1,Akirin1
B1AXD8,Akirin2
Q80VW7,Akna
E9Q394,Akap13
Q9R0L7,Akap8l
P31750,Akt1
Q60823,Akt2
Q9WUA6,Akt3
Q64362,Aktip
Q9D1F4,Akt1s1
Q8BIX3,Arl14ep
P24549,Aldh1a1
Q62148,Aldh1a2
Q9JHW9,Aldh1a3
O35945,Aldh1a7
Q9CZS1,Aldh1b1
Q8R0Y6,Aldh1l1
Q8K009,Aldh1l2
Q60I26,Als2cl
P47739,Aldh3a1
P47740,Aldh3a2
Q80VQ0,Aldh3b1
E9Q3E1,Aldh3b2
J3QMK6,Aldh3b3
Q8CHT0,Aldh4a1
P30355,Alox5ap
Q9DBF1,Aldh7a1
Q8BH00,Aldh8a1
Q9JLJ2,Aldh9a1
Q8QZR5,Gpt
Q8BGT5,Gpt2
P07724,Alb
P21300,Akr1b7
P45377,Akr1b8
P47738,Aldh2
P05064,Aldoa
Q91Y97,Aldob
P05063,Aldoc
P45376,Akr1b1
Q6R0H6,Gnas
Q3TZM9,Alg11
Q8VDB2,Alg12
Q9D8C3,Alg13
Q9D081,Alg14
Q921Q3,Alg1
Q9DBE8,Alg2
Q8K2A8,Alg3
Q9DB25,Alg5
Q3TAE8,Alg6
Q6P8H8,Alg8
Q8VDI9,Alg9
P0CB42,Alkbh1
Q6P6J4,Alkbh2
Q8K1E6,Alkbh3
Q9D8F1,Alkbh4
Q3TSG4,Alkbh5
Q8K2U2,Alkbh6
Q9D6Z0,Alkbh7
Q80Y20,Alkbh8
J3QPP8,Alkal1
Q80UG6,Alkal2
Q8BS35,Agmo
P97793,Alk
Q9JHX6,Allc
Q8K4E0,Alms1
O35936,Alox8
Q9CXB8,Alpk1
Q91ZB0,Alpk2
Q924C5,Alpk3
Q9JJW6,Alyref2
P56213,Gfer
Q920R0,Als2
P70389,Igfals
Q8C8B0,Alx1
O70137,Alx3
O35137,Alx4
P00688,Amy2a5
O09174,Amacr
O55189,Ambn
Q07456,Ambp
P97467,Pam
P63277,Amelx
Q7TS75,Amer1
Q8CCJ4,Amer2
Q6NS69,Amer3
Q8JZZ6,Ammecr1l
Q9R049,Amfr
Q80ZD8,Amigo1
Q80ZD9,Amigo2
Q8C2S7,Amigo3
Q8K592,Amhr2
Q9JHT5,Ammecr1
B8JKV0,Amn1
Q99JB7,Amn
Q9D4H4,Amotl1
Q8K371,Amotl2
Q8VHG2,Amot
Q8VCT3,Rnpep
Q3V1D3,Ampd1
Q9DBT5,Ampd2
O08739,Ampd3
P16406,Enpep
Q7TQF7,Amph
Q9CPY7,Lap3
P97449,Anpep
Q8BXQ6,Aopep
Q2KHK3,Lvrn
A2AH22,Ambra1
P55302,Lrpap1
Q9D3J8,Amtn
P00687,Amy1
Q8BVF9,Amz1
Q400C8,Amz2
Q80UP5,Ankrd13a
Q5F259,Ankrd13b
Q3UX43,Ankrd13c
Q6PD24,Ankrd13d
O35381,Anp32a
Q9EST5,Anp32b
Q64G17,Anp32c
P97822,Anp32e
Q3U0L2,Ankrd33b
Q3UUF8,Ankrd34b
Q8BLB8,Ankrd34c
Q8BZQ7,Anapc2
Q9DAZ9,Zfyve19
P19091,Ar
P40753,Nppb
Q61839,Nppc
Q810B6,Ankfy1
P05125,Nppa
Q64438,Ang2
P97802,Ang3
Q3TMQ6,Ang4
Q8VCU0,Angel1
Q8K1C0,Angel2
P21570,Ang
Q640P2,Angptl1
Q9R045,Angptl2
Q9R182,Angptl3
Q9Z1P8,Angptl4
Q8R0Z6,Angptl6
Q8R1Q3,Angptl7
Q8R1L8,Angptl8
O08538,Angpt1
O35608,Angpt2
Q9WVH6,Angpt4
P11859,Agt
Q02357,Ank1
Q8C8R3,Ank2
G5E8K5,Ank3
A2RT91,Ankar
Q9D2J7,Ankef1
A0A571BF63,Ankfn1
Q9JHZ2,Ankh
Q8BZ25,Ankk1
A8VU90,Ankle1
Q6P1H6,Ankle2
Q501J2,Antkmt
Q9CR42,Ankrd1
Q9WV06,Ankrd2
Q69ZU8,Ankrd6
Q9D504,Ankrd7
Q8BH83,Ankrd9
Q9CZK6,Anks3
Q6GQX6,Anks6
Q3UUE9,Ankub1
Q3TPE9,Ankmy2
Q80UU1,Ankzf1
Q8K298,Anln
Q9JIF0,Prmt1
Q9R144,Prmt2
Q922H1,Prmt3
Q8CIG8,Prmt5
Q6NZB1,Prmt6
Q922X9,Prmt7
Q6PAK3,Prmt8
Q3U3W5,Prmt9
Q8C0W1,Ankmy1
Q8BH79,Ano10
Q8BHY3,Ano1
Q8CFW1,Ano2
A2AHL1,Ano3
Q8C5H1,Ano4
Q75UR0,Ano5
Q6P9J9,Ano6
Q14AT5,Ano7
Q6PB70,Ano8
P86044,Ano9
P18293,Npr1
Q6VVW5,Npr2
P70180,Npr3
Q99LW0,Ankrd10
E9Q4F7,Ankrd11
A2AS55,Ankrd16
Q99NH0,Ankrd17
Q9D3J5,Ankrd22
Q812A3,Ankrd23
Q80VM7,Ankrd24
Q811D2,Ankrd26
Q3UMR0,Ankrd27
Q505D1,Ankrd28
A0A140LI88,Ankrd31
Q569N2,Ankrd37
Q9D2X0,Ankrd39
Q5SUE8,Ankrd40
Q3V096,Ankrd42
B2RXR6,Ankrd44
Q810N6,Ankrd45
Q8BTZ5,Ankrd46
Q8VE42,Ankrd49
Q8BTI7,Ankrd52
Q3V0J4,Ankrd53
Q91WK7,Ankrd54
Q8BLD6,Ankrd55
Q9CQM6,Ankrd61
A2ARS0,Ankrd63
Q99PE2,Ankra2
P61110,Kap
P59672,Anks1a
Q8BIZ1,Anks1b
Q8K3X6,Anks4b
P32261,Serpinc1
Q9CZ52,Antxr1
Q6DFX2,Antxr2
Q8BVM2,Antxrl
Q9QZ10,Anxa10
P97384,Anxa11
Q99JG3,Anxa13
P10107,Anxa1
P07356,Anxa2
O35639,Anxa3
P97429,Anxa4
P48036,Anxa5
P14824,Anxa6
Q07076,Anxa7
O35640,Anxa8
Q9JHQ0,Anxa9
O35298,Aoah
Q8JZQ5,Aoc1
Q812C9,Aoc2
O70423,Aoc3
Q64133,Maoa
Q8BW75,Maob
O54754,Aox1
Q5SGK3,Aox2
G3X982,Aox3
Q3TYQ9,Aox4
Q61548,Snap91
O35643,Ap1b1
P22892,Ap1g1
O88512,Ap1g2
P35585,Ap1m1
Q9WVP1,Ap1m2
P61967,Ap1s1
Q9DB50,Ap1s2
Q7TN05,Ap1s3
P17426,Ap2a1
P17427,Ap2a2
P34056,Tfap2a
Q9DBG3,Ap2b1
Q61313,Tfap2b
Q61312,Tfap2c
Q91ZK0,Tfap2d
Q6VUP9,Tfap2e
P84091,Ap2m1
P62743,Ap2s1
Q9Z1T1,Ap3b1
Q9JME5,Ap3b2
O54774,Ap3d1
Q9JKC8,Ap3m1
Q8R2R9,Ap3m2
Q9DCR2,Ap3s1
Q8BSZ2,Ap3s2
Q3U3N6,Tepsin
P56380,Nudt2
Q9WV76,Ap4b1
Q80V94,Ap4e1
Q9JKC7,Ap4m1
Q9WVL1,Ap4s1
Q3TAP4,Ap5b1
Q8BJ63,Ap5m1
Q9D742,Ap5s1
Q3U829,Ap5z1
O88879,Apaf1
B2RUJ5,Apba1
P98084,Apba2
O88888,Apba3
Q9QXJ1,Apbb1
Q9DBR4,Apbb2
Q8R1C9,Apbb3
Q9DAX9,Appbp2
Q8K2H6,Anapc10
Q9CPX9,Anapc11
Q8R034,Anapc13
P60007,Anapc15
Q9CPV2,Anapc16
P53995,Anapc1
Q91W96,Anapc4
Q8BTZ4,Anapc5
Q9WVM3,Anapc7
Q3U128,Apcdd1
Q9Z1K7,Apc2
Q61315,Apc
Q9R0R4,Apln
P28352,Apex1
Q68G58,Apex2
Q8BVF7,Aph1a
Q8C7N7,Aph1b
Q9DCZ9,Aph1c
O35841,Api5
Q9WV08,Aplnr
Q9D842,Aplf
Q03157,Aplp1
Q06335,Aplp2
Q9D7N9,Apmap
Q00623,Apoa1
P09813,Apoa2
P06728,Apoa4
Q8C7G5,Apoa5
Q8VBT6,Apobr
E9Q414,Apob
P34928,Apoc1
Q05020,Apoc2
P33622,Apoc3
Q61268,Apoc4
P51910,Apod
P08226,Apoe
Q91V80,Apof
Q01339,Apoh
Q9Z1R3,Apom
Q09PK2,Asprv1
Q9JM54,Pmaip1
Q7TQC5,Aptx
P08030,Aprt
Q8BHH1,Aqp11
Q8CHJ2,Aqp12
Q02013,Aqp1
P56402,Aqp2
Q8R2N1,Aqp3
P55088,Aqp4
Q9WTY4,Aqp5
Q8C4A0,Aqp6
O54794,Aqp7
P56404,Aqp8
Q9JJJ3,Aqp9
Q8CFQ3,Aqr
Q9D416,Arl13a
Q640N2,Arl13b
Q9D385,Arl2bp
Q9JKW0,Arl6ip1
Q9JM93,Arl6ip4
Q8BH07,Arl6ip6
P04627,Araf
Q6PGD0,Atraid
Q4LDD4,Arap1
Q8BZ05,Arap2
Q8R5G7,Arap3
Q3TNH5,Arb2a
Q99MK8,Grk2
Q3UYH7,Grk3
Q9R0Q6,Arpc1a
Q9WV32,Arpc1b
Q505B7,Zbtb8os
Q9WV31,Arc
P31955,Areg
Q8CHG5,Arel1
P84078,Arf1
Q8BSL7,Arf2
P61205,Arf3
P61750,Arf4
P84084,Arf5
P62331,Arf6
Q9EPJ9,Arfgap1
Q99K28,Arfgap2
Q9D8S3,Arfgap3
G5E8V9,Arfip1
Q8K221,Arfip2
Q8BXL7,Arfrp1
Q64364,Cdkn2a
P97433,Arhgef28
Q8BW86,Arhgef33
Q66JY6,Arhgef39
A2AWP8,Arhgef10l
Q61176,Arg1
O08691,Arg2
Q3UL36,Arglu1
A1IGU4,Arhgef37
Q80VK6,Arhgef38
Q3UPH7,Arhgef40
Q61210,Arhgef1
Q60875,Arhgef2
Q91X46,Arhgef3
Q7TNR9,Arhgef4
E9Q7D5,Arhgef5
Q8K4I3,Arhgef6
Q9ES28,Arhgef7
Q9Z206,Net1
Q3UTH8,Arhgef9
Q8C033,Arhgef10
Q8R4H2,Arhgef12
Q5FWH6,Arhgef15
Q3U5C8,Arhgef16
Q80U35,Arhgef17
Q6P9R4,Arhgef18
Q8BWA8,Arhgef19
Q9CWR0,Arhgef25
Q8BGK2,Adprhl1
Q8C142,Ldlrap1
A2BH40,Arid1a
E9Q4N7,Arid1b
Q9Z1K5,Arih1
Q9Z1K6,Arih2
Q62431,Arid3a
Q9Z1N7,Arid3b
A6PWV5,Arid3c
F8VPQ2,Arid4a
A2CG63,Arid4b
Q3U108,Arid5a
Q8BM75,Arid5b
E9Q7E2,Arid2
Q99NG0,Rad54l2
E9QAU8,Ark2c
Q8BH50,Ark2n
Q8CG76,Akr7a2
Q9QXJ4,Arl10
Q6P3A9,Arl11
Q3SXC5,Arl14
Q8BGR6,Arl15
P61211,Arl1
Q9D0J4,Arl2
Q9WUL7,Arl3
P61213,Arl4a
P61208,Arl4c
Q99PE9,Arl4d
Q80ZU0,Arl5a
Q9D4P0,Arl5b
Q6P068,Arl5c
O88848,Arl6
Q8VEH3,Arl8a
Q9CQW2,Arl8b
Q91YI0,Asl
Q9D0L7,Armc10
Q80X86,Armc12
Q9D7A8,Armc1
Q3URY6,Armc2
A2AU72,Armc3
Q5EBP3,Armc5
Q8BNU0,Armc6
Q3UJZ3,Armc7
Q9DBR3,Armc8
Q9D2I5,Armc9
Q6PD19,Armh3
Q8BT18,Armh4
A6H630,Armt1
Q9CX83,Armcx1
Q6A058,Armcx2
Q8BHS6,Armcx3
Q3UZB0,Armcx5
Q8K3A6,Armcx6
Q61324,Arnt2
P53762,Arnt
Q8C6B9,Rps19bp1
Q9QZB7,Actr10
P56212,Arpp19
Q9DCB4,Arpp21
P61161,Actr2
Q641P0,Actr3b
Q99JY9,Actr3
Q9D898,Arpc5l
Q80US4,Actr5
Q9D864,Actr6
Q8R2S9,Actr8
Q9CVB6,Arpc2
Q9JM76,Arpc3
P59999,Arpc4
Q9CPW4,Arpc5
Q9D0A3,Arpin
Q8BWG8,Arrb1
Q91YI4,Arrb2
Q9EQP6,Arr3
Q99KN1,Arrdc1
Q9D668,Arrdc2
Q7TPQ9,Arrdc3
A0A0B4J1F4,Arrdc4
Q497K5,Arrdc5
P20443,Sag
P50428,Arsa
P50429,Arsb
Q3TYD4,Arsg
Q32KI9,Arsi
Q8BM89,Arsj
Q9D2L1,Arsk
Q9Z0L2,Artn
Q9D0U9,Arv1
P98203,Arvcf
C0HK79,Arxes1
C0HK80,Arxes2
O35085,Arx
P50294,Nat1
P50295,Nat2
P50296,Nat3
Q91WU5,As3mt
Q9WV54,Asah1
Q9JHE3,Asah2
Q9QWY8,Asap1
Q7SIG6,Asap2
Q5U464,Asap3
Q91ZT7,Asb10
Q9CQ31,Asb11
Q9D738,Asb12
Q8VBX0,Asb13
Q8C6Y6,Asb14
Q8VHS6,Asb15
Q8VHS5,Asb16
Q8VHP9,Asb17
Q8VHA6,Asb18
Q9WV74,Asb1
Q8K0L0,Asb2
Q9WV72,Asb3
Q9WV71,Asb4
Q9D1A4,Asb5
Q91ZU1,Asb6
Q91ZU0,Asb7
Q91ZT9,Asb8
Q91ZT8,Asb9
Q9D8Z1,Ascc1
Q91WR3,Ascc2
E9PZJ8,Ascc3
Q02067,Ascl1
O35885,Ascl2
Q9JJR7,Ascl3
M0QWB7,Ascl5
Q9EPB4,Pycard
Q9CQE6,Asf1a
Q9DAP7,Asf1b
Q8C0M9,Asrgl1
P34927,Asgr1
P24721,Asgr2
Q99MY8,Ash1l
Q91X20,Ash2l
Q6NXK8,Asic1
Q925H0,Asic2
Q6X1Y6,Asic3
Q7TNS7,Asic4
Q9R0Y1,Asic5
Q03288,Asip
P70158,Smpdl3a
P58242,Smpdl3b
D3KU66,Asmt
Q04519,Smpd1
Q8BFS9,Asnsd1
Q61024,Asns
Q8VBT9,Aspscr1
Q9DCQ2,Aspdh
Q64191,Aga
Q2TA57,Asphd1
Q80VP9,Asphd2
Q8BSY0,Asph
Q8CJ27,Aspm
Q99MQ4,Aspn
Q62415,Ppp1r13b
Q8CG79,Tp53bp2
P50289,Acrv1
P16460,Ass1
Q8BIR2,Aste1
Q6ZWX0,Wdr83os
Q6HA09,Astl
Q61137,Astn1
Q80Z10,Astn2
Q8VEF1,Gramd1a
Q80TI0,Gramd1b
Q8CI52,Gramd1c
P59598,Asxl1
Q8BZ32,Asxl2
Q8C4A5,Asxl3
Q8VD46,Asz1
O54827,Atp10a
B1AWN4,Atp10b
Q8K2X1,Atp10d
P98197,Atp11a
Q6DFW5,Atp11b
Q9QZW0,Atp11c
